# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
brifitoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:brifitoj
brikabrak	SUBST	N	N	N	KF	NLM	3	R	# PIV:brikabrako
bri	SUBST	N	N	N	KF	NLM	3	R	# PIV:brio
briopsidoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:briopsidoj
briozooj	SUBST	N	N	N	KF	NLM	3	R	# PIV:briozooj
brioĉ	SUBST	N	N	N	KF	NLM	3	R	# PIV:brioĉo
brisur	SUBST	N	N	N	KF	NLM	3	R	# PIV:brisuro
brisurumit	ADJ	N	N	N	KF	NLM	3	R	# PIV:brisurumita
briton	ADJ	N	N	N	KF	NLM	3	R	# PIV:britona
brokatel	SUBST	N	N	N	KF	NLM	3	R	# PIV:brokatelo
bromeli	SUBST	N	N	N	KF	NLM	3	R	# PIV:bromelio
bromus	SUBST	N	N	N	KF	NLM	3	R	# PIV:bromuso
bronkoskopi	SUBST	N	N	N	KF	NLM	3	R	# PIV:bronkoskopio
bronkoskop	SUBST	N	N	N	KF	NLM	3	R	# PIV:bronkoskopo
brosm	SUBST	N	N	N	KF	NLM	3	R	# PIV:brosmo
brucelozoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:brucelozoj
brucin	SUBST	N	N	N	KF	NLM	3	R	# PIV:brucino
bruliv	ADJ	N	N	N	KF	NLM	3	R	# PIV:bruliva
brum	SUBST	N	N	N	KF	NLM	3	R	# PIV:brumo
brunfelsi	SUBST	N	N	N	KF	NLM	3	R	# PIV:brunfelsio
brunjon	SUBST	N	N	N	KF	NLM	3	R	# PIV:brunjono
brusoneti	SUBST	N	N	N	KF	NLM	3	R	# PIV:brusonetio
brutt	ADVERBO	N	N	N	KF	NLM	3	R	# PIV:brutte
buad	VERBO	N	X	N	KF	NLM	3	R	# PIV:buadi
budle	SUBST	N	N	N	KF	NLM	3	R	# PIV:budleo
bufon	SUBST	N	N	N	KF	NLM	3	R	# PIV:bufono
buftalm	SUBST	N	N	N	KF	NLM	3	R	# PIV:buftalmo
bugl	SUBST	N	N	N	KF	NLM	3	R	# PIV:buglo
bugr	VERBO	N	X	N	KF	NLM	3	R	# PIV:bugri
bujabes	SUBST	N	N	N	KF	NLM	3	R	# PIV:bujabeso
bukcinator	SUBST	N	N	N	KF	NLM	3	R	# PIV:bukcinatoro
bukmekr	SUBST	N	N	N	KF	NLM	3	R	# PIV:bukmekro
bukolik	SUBST	N	N	N	KF	NLM	3	R	# PIV:bukoliko
bukorak	SUBST	N	N	N	KF	NLM	3	R	# PIV:bukorako
bukŝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:bukŝo
bulimi	SUBST	N	N	N	KF	NLM	3	R	# PIV:bulimio
bull	SUBST	N	N	N	KF	NLM	3	R	# PIV:bullo
bungar	SUBST	N	N	N	KF	NLM	3	R	# PIV:bungaro
bupleŭr	SUBST	N	N	N	KF	NLM	3	R	# PIV:bupleŭro
buprest	SUBST	N	N	N	KF	NLM	3	R	# PIV:bupresto
burask	SUBST	N	N	N	KF	NLM	3	R	# PIV:burasko
burg	SUBST	N	N	N	KF	NLM	3	R	# PIV:burgo
burjat	SUBST	N	N	N	KF	NLM	3	R	# PIV:burjato
burk	SUBST	N	N	N	KF	NLM	3	R	# PIV:burko
burnuŝ	SUBST	N	N	N	KF	NLM	3	R	# PIV:burnuŝo
burseracoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:burseracoj
burser	SUBST	N	N	N	KF	NLM	3	R	# PIV:bursero
bursit	SUBST	N	N	N	KF	NLM	3	R	# PIV:bursito
burs	SUBST	N	N	N	KF	NLM	3	R	# PIV:burso
but	SUBST	N	N	N	KF	NLM	3	R	# PIV:but # OK
butadien	SUBST	N	N	N	KF	NLM	3	R	# PIV:butadieno
butanon	SUBST	N	N	N	KF	NLM	3	R	# PIV:butanono
buten	SUBST	N	N	N	KF	NLM	3	R	# PIV:buteno
butin	SUBST	N	N	N	KF	NLM	3	R	# PIV:butino
butom	SUBST	N	N	N	KF	NLM	3	R	# PIV:butomo
buĝi	SUBST	N	N	N	KF	NLM	3	R	# PIV:buĝio
buĥt	SUBST	N	N	N	KF	NLM	3	R	# PIV:buĥto
cebedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cebedoj
ceb	SUBST	N	N	N	KF	NLM	3	R	# PIV:cebo
cecidomi	SUBST	N	N	N	KF	NLM	3	R	# PIV:cecidomio
cefal	ADJ	N	N	N	KF	NLM	3	R	# PIV:cefala
cefalaspid	SUBST	N	N	N	KF	NLM	3	R	# PIV:cefalaspido
cefalaspidoformaj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cefalaspidoformaj
cefalaspidomorfoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cefalaspidomorfoj
cefale	SUBST	N	N	N	KF	NLM	3	R	# PIV:cefaleo
cefal	SUBST	N	N	N	KF	NLM	3	R	# PIV:cefalo
ceib	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceibo
celar	SUBST	N	N	N	KF	NLM	3	R	# PIV:celaro
celec	SUBST	N	N	N	KF	NLM	3	R	# PIV:celeco
celenter	SUBST	N	N	N	KF	NLM	3	R	# PIV:celentero
celestit	SUBST	N	N	N	KF	NLM	3	R	# PIV:celestito
celest	SUBST	N	N	N	KF	NLM	3	R	# PIV:celesto
celobioz	SUBST	N	N	N	KF	NLM	3	R	# PIV:celobiozo
celom	SUBST	N	N	N	KF	NLM	3	R	# PIV:celomo
celomuloj	SUBST	N	N	N	KF	NLM	3	R	# PIV:celomuloj
celtid	SUBST	N	N	N	KF	NLM	3	R	# PIV:celtido
cenobit	SUBST	N	N	N	KF	NLM	3	R	# PIV:cenobito
cenocit	SUBST	N	N	N	KF	NLM	3	R	# PIV:cenocito
cens	VERBO	N	X	N	KF	NLM	3	R	# PIV:censi
censist	SUBST	N	N	N	KF	NLM	3	R	# PIV:censisto
centaŭri	SUBST	N	N	N	KF	NLM	3	R	# PIV:centaŭrio
centifoli	SUBST	N	N	N	KF	NLM	3	R	# PIV:centifolio
centil	SUBST	N	N	N	KF	NLM	3	R	# PIV:centilo
centipeli	SUBST	N	N	N	KF	NLM	3	R	# PIV:centipelio
centraliz	ADJ	N	N	N	KF	NLM	3	R	# PIV:centraliza
centrifugad	SUBST	N	N	N	KF	NLM	3	R	# PIV:centrifugado
centriol	SUBST	N	N	N	KF	NLM	3	R	# PIV:centriolo
centromer	SUBST	N	N	N	KF	NLM	3	R	# PIV:centromero
centrosom	SUBST	N	N	N	KF	NLM	3	R	# PIV:centrosomo
centuriestr	SUBST	N	N	N	KF	NLM	3	R	# PIV:centuriestro
centuri	SUBST	N	N	N	KF	NLM	3	R	# PIV:centurio
cenzor	SUBST	N	N	N	KF	NLM	3	R	# PIV:cenzoro
cepol	SUBST	N	N	N	KF	NLM	3	R	# PIV:cepolo
cerambikedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerambikedoj
cerambik	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerambiko
cerami	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceramio
cerasti	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerastio
ceratin	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceratino
ceratofil	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceratofilo
ceratoni	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceratonio
cerbatan	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerbatano
cercidifil	SUBST	N	N	N	KF	NLM	3	R	# PIV:cercidifilo
cercid	SUBST	N	N	N	KF	NLM	3	R	# PIV:cercido
cerebr	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerebro
cerkari	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerkario
cerkopitekedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerkopitekedoj
cerkopitek	SUBST	N	N	N	KF	NLM	3	R	# PIV:cerkopiteko
certi	SUBST	N	N	N	KF	NLM	3	R	# PIV:certio
ceruzit	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceruzito
cervelas	SUBST	N	N	N	KF	NLM	3	R	# PIV:cervelaso
cest	SUBST	N	N	N	KF	NLM	3	R	# PIV:cesto
cestodoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cestodoj
cestr	SUBST	N	N	N	KF	NLM	3	R	# PIV:cestro
ceterak	SUBST	N	N	N	KF	NLM	3	R	# PIV:ceterako
cetil	SUBST	N	N	N	KF	NLM	3	R	# PIV:cetilo
cetrari	SUBST	N	N	N	KF	NLM	3	R	# PIV:cetrario
cezalpini	SUBST	N	N	N	KF	NLM	3	R	# PIV:cezalpinio
cezar	ADJ	N	N	N	KF	NLM	3	R	# PIV:cezara
cezar	VERBO	N	X	N	KF	NLM	3	R	# PIV:cezari
cgs	SUBST	N	N	N	KF	NLM	3	R	# PIV:cgs
cianat	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianato
ciane	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianeo
cianfitoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianfitoj
cianhidrin	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianhidrino
cianofitoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianofitoj
cianokobalamin	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianokobalamino
cianorat	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianorato
cianorit	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianorito
cianoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianozo
cianur	SUBST	N	N	N	KF	NLM	3	R	# PIV:cianuro
cibori	SUBST	N	N	N	KF	NLM	3	R	# PIV:ciborio
cicoid	ADJ	N	N	N	KF	NLM	3	R	# PIV:cicoida
cifoskolioz	SUBST	N	N	N	KF	NLM	3	R	# PIV:cifoskoliozo
cifoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:cifozo
cikadomorfoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cikadomorfoj
cikas	SUBST	N	N	N	KF	NLM	3	R	# PIV:cikaso
ciklometri	ADJ	N	N	N	KF	NLM	3	R	# PIV:ciklometria
ciklosporin	SUBST	N	N	N	KF	NLM	3	R	# PIV:ciklosporino
ciklostomoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:ciklostomoj
ciliar	SUBST	N	N	N	KF	NLM	3	R	# PIV:ciliaro
ciliuloj	SUBST	N	N	N	KF	NLM	3	R	# PIV:ciliuloj
cimbalari	SUBST	N	N	N	KF	NLM	3	R	# PIV:cimbalario
cimbidi	SUBST	N	N	N	KF	NLM	3	R	# PIV:cimbidio
cimbopogon	SUBST	N	N	N	KF	NLM	3	R	# PIV:cimbopogono
cimbr	SUBST	N	N	N	KF	NLM	3	R	# PIV:cimbro
cimicifug	SUBST	N	N	N	KF	NLM	3	R	# PIV:cimicifugo
cimitar	SUBST	N	N	N	KF	NLM	3	R	# PIV:cimitaro
cinamal	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinamalo
cinamom	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinamomo
cinar	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinaro
cindropetr	SUBST	N	N	N	KF	NLM	3	R	# PIV:cindropetro
cingul	SUBST	N	N	N	KF	NLM	3	R	# PIV:cingulo
cinipedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinipedoj
cinip	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinipo
cinkledoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinkledoj
cinocefal	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinocefalo
cinodont	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinodonto
cinoglos	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinogloso
cinozur	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinozuro
cintr	VERBO	N	X	N	KF	NLM	3	R	# PIV:cintri
cintr	SUBST	N	N	N	KF	NLM	3	R	# PIV:cintro
cintur	SUBST	N	N	N	KF	NLM	3	R	# PIV:cinturo
ciper	SUBST	N	N	N	KF	NLM	3	R	# PIV:cipero
cip	SUBST	N	N	N	KF	NLM	3	R	# PIV:cipo
cipre	SUBST	N	N	N	KF	NLM	3	R	# PIV:cipreo
ciprinedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:ciprinedoj
cipripedi	SUBST	N	N	N	KF	NLM	3	R	# PIV:cipripedio
circe	SUBST	N	N	N	KF	NLM	3	R	# PIV:circeo
cirkaet	SUBST	N	N	N	KF	NLM	3	R	# PIV:cirkaeto
