# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
azidotimidin	SUBST	N	N	N	KF	NLM	3	R	# PIV:azidotimidino
azimen	SUBST	N	N	N	KF	NLM	3	R	# PIV:azimeno
azo	ADJ	N	N	N	KF	NLM	3	R	# PIV:azoa
azoik	SUBST	N	N	N	KF	NLM	3	R	# PIV:azoiko
azoksi	SUBST	N	N	N	KF	NLM	3	R	# PIV:azoksio
azol	SUBST	N	N	N	KF	NLM	3	R	# PIV:azolo
azo	SUBST	N	N	N	KF	NLM	3	R	# PIV:azoo
azotemi	SUBST	N	N	N	KF	NLM	3	R	# PIV:azotemio
azoturi	SUBST	N	N	N	KF	NLM	3	R	# PIV:azoturio
aztek	SUBST	N	N	N	KF	NLM	3	R	# PIV:azteko
azuleĥ	SUBST	N	N	N	KF	NLM	3	R	# PIV:azuleĥo
aĥeronti	SUBST	N	N	N	KF	NLM	3	R	# PIV:aĥerontio
aĥ	VERBO	N	X	N	KF	NLM	3	R	# PIV:aĥi
aŝar	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŝaro
aŭbad	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭbado
aŭbrieti	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭbrietio
aŭdienĉ	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭdienĉo
aŭditor	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭditoro
aŭgit	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭgito
aŭgmentativ	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭgmentativo
aŭgment	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭgmento
aŭgustenan	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭgustenano
aŭkedoj	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭkedoj
aŭksin	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭksino
aŭksotrof	ADJ	N	N	N	KF	NLM	3	R	# PIV:aŭksotrofa
aŭkub	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭkubo
aŭkume	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭkumeo
aŭreli	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭrelio
aŭrik	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭriko
aŭrikulari	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭrikulario
aŭripigment	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭripigmento
aŭster	ADJ	N	N	N	KF	NLM	3	R	# PIV:aŭstera
aŭstral	ADJ	N	N	N	KF	NLM	3	R	# PIV:aŭstrala
aŭstralopitek	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭstralopiteko
aŭtarki	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭtarkio
aŭtigen	ADJ	N	N	N	KF	NLM	3	R	# PIV:aŭtigena
aŭtogami	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭtogamio
aŭtogen	ADJ	N	N	N	KF	NLM	3	R	# PIV:aŭtogena
aŭtomorfi	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭtomorfio
aŭtosom	SUBST	N	N	N	KF	NLM	3	R	# PIV:aŭtosomo
aŭtotrof	ADJ	N	N	N	KF	NLM	3	R	# PIV:aŭtotrofa
bac	VERBO	N	X	N	KF	NLM	3	R	# PIV:baci
bac	SUBST	N	N	N	KF	NLM	3	R	# PIV:baco
bagn	SUBST	N	N	N	KF	NLM	3	R	# PIV:bagno
bagr	SUBST	N	N	N	KF	NLM	3	R	# PIV:bagro
bajronism	SUBST	N	N	N	KF	NLM	3	R	# PIV:bajronismo
bakang	SUBST	N	N	N	KF	NLM	3	R	# PIV:bakango
