表示語	解析語
Iksiono	Iksiono
Iliono	Iliono
Ilzo	Ilzo
Inaĥo	Inaĥo
Indianisto	Indianisto
Indoĉina	Indoĉina
Ireneo	Ireneo
Ireno	Ireno
Isaako	Isaako
Isaĥaro	Isaĥaro
Iskarioto	Iskarioto
Ismailo	Ismailo
Israfilo	Israfilo
Isso	Isso
Izengrino	Izengrino
Izidoro	Izidoro
Iziso	Iziso
Izokrato	Izokrato
Izoldo	Izoldo
Izraela	Izraela
Izraelido	Izraelido
Iŝmaelo	Iŝmaelo
Jadvigo	Jadvigo
Jadvinjo	Jadvinjo
Jafetida	Jafetida
Jagelonoj	Jagelonoj
Jakobino	Jakobino
Jakobisto	Jakobisto
Jakutio	Jakutio
Janjo	Janjo
Janseno	Janseno
Javea	Javea
Javeisto	Javeisto
Jazono	Jazono
Jaĉjo	Jaĉjo
Jehoaŝo	Jehoaŝo
Jehoŝafato	Jehoŝafato
Jeriĥa	Jeriĥa
Jerobeamo	Jerobeamo
Jersino	Jersino
Jesŭo	Jesŭo
Jeĥezkelo	Jeĥezkelo
JHVH	JHVH
Jiftaĥo	Jiftaĥo
Jiŝajo	Jiŝajo
Joabo	Joabo
Joakimo	Joakimo
Jobo	Jobo
Joelo	Joelo
Johan-Baptisto	Johan-Baptisto
Johanino	Johanino
Jokasto	Jokasto
Jonatano	Jonatano
Jovo	Jovo
Joĉjo	Joĉjo
Judujo	Judujo
Jugurto	Jugurto
Jukatanio	Jukatanio
Jukonio	Jukonio
Juliino	Juliino
Justeno	Justeno
Justiniano	Justiniano
Juvenalo	Juvenalo
Kaabo	Kaabo
Kabilio	Kabilio
Kabilujo	Kabilujo
Kadmo	Kadmo
Kafrio	Kafrio
Kainidoj	Kainidoj
Kaistro	Kaistro
Kalibano	Kalibano
Kaligulo	Kaligulo
Kalimaĥo	Kalimaĥo
Kaliopo	Kaliopo
Kalisto	Kalisto
Kalmukio	Kalmukio
Kaloĉaja	Kaloĉaja
Kalvaria	Kalvaria
Kalĥaso	Kalĥaso
Kamadevo	Kamadevo
Kamasutraĵo	Kamasutraĵo
Kambizo	Kambizo
Kamilo	Kamilo
Kamoenso	Kamoenso
Kampuĉeo	Kampuĉeo
Kanaana	Kanaana
Kanakio	Kanakio
Kantiano	Kantiano
Kapadocio	Kapadocio
Kapetidoj	Kapetidoj
Karaiba	Karaiba
Karakalpakio	Karakalpakio
Karisoj	Karisoj
Karolidoj	Karolidoj
Karonjo	Karonjo
Karpentaria	Karpentaria
Kasandro	Kasandro
Katilino	Katilino
Katono	Katono
Katulo	Katulo
Kaŝubio	Kaŝubio
Kaŭkazio	Kaŭkazio
Keltio	Keltio
Kianto	Kianto
Kijlo	Kijlo
Kirilo	Kirilo
Kirono	Kirono
Klanjo	Klanjo
Klaranino	Klaranino
Klaŭdiano	Klaŭdiano
Klaŭdino	Klaŭdino
Klaŭdio	Klaŭdio
Klaŭdo	Klaŭdo
Kleanto	Kleanto
Klementino	Klementino
Klemento	Klemento
Kleono	Kleono
Klio	Klio
Klitandro	Klitandro
Klitemnestro	Klitemnestro
Klodovaldo	Klodovaldo
Klodvigo	Klodvigo
Klotaro	Klotaro
Klotildo	Klotildo
Kluniza	Kluniza
Kocito	Kocito
Kohinuro	Kohinuro
Kolor	Kolor
Koloseo	Koloseo
Kolĉido	Kolĉido
Kolĥido	Kolĥido
Komilando	Komilando
Kompartio	Kompartio
Komptono	Komptono
Komsomolo	Komsomolo
Konrado	Konrado
Konstanca	Konstanca
Konstancio	Konstancio
Konstanteno	Konstanteno
Kopernika	Kopernika
Koraĥo	Koraĥo
Kordilero	Kordilero
Koriolano	Koriolano
Kornelieca	Kornelieca
Kornelio	Kornelio
Kortesoj	Kortesoj
Koĥo	Koĥo
Koŝio	Koŝio
Kraso	Kraso
Krebso	Krebso
Kreono	Kreono
Krezo	Krezo
Krimhildo	Krimhildo
Kristiano	Kristiano
Krizipo	Krizipo
Krizostomo	Krizostomo
Kronido	Kronido
Ksantipino	Ksantipino
Ksantipo	Ksantipo
Ksanto	Ksanto
Ksenofono	Ksenofono
Kurdujo	Kurdujo
Kuroŝio	Kuroŝio
Kurtio	Kurtio
Kvintiliano	Kvintiliano
Kvinto-Kurtio	Kvinto-Kurtio
Kvirinalo	Kvirinalo
Lacedemonano	Lacedemonano
Lacedemono	Lacedemono
Ladislao	Ladislao
Ladoga	Ladoga
Laerto	Laerto
Lajo	Lajo
Laknaŭo	Laknaŭo
Lamberto	Lamberto
Lanko	Lanko
Laodikeo	Laodikeo
Laokoono	Laokoono
Laplando	Laplando
Laroŝfuko	Laroŝfuko
Latiano	Latiano
Latio	Latio
Leopoldino	Leopoldino
Lepido	Lepido
Lesbanino	Lesbanino
Lesbano	Lesbano
Leteo	Leteo
Leto	Leto
Leviido	Leviido
Leŭkado	Leŭkado
Lidiano	Lidiano
Ligurujo	Ligurujo
Likio	Likio
Likurgo	Likurgo
Limoĝio	Limoĝio
Livonujo	Livonujo
Lizipo	Lizipo
Logano	Logano
Lombardujo	Lombardujo
Lorenano	Lorenano
Lotaringo	Lotaringo
Lotario	Lotario
LSD	LSD
Luareto	Luareto
Luarvalo	Luarvalo
Lubo	Lubo
Luciano	Luciano
Lucilio	Lucilio
Lucino	Lucino
Lucio	Lucio
Ludovikino	Ludovikino
Luiso	Luiso
Lukanio	Lukanio
Lukrecio	Lukrecio
Lukulo	Lukulo
Lumbino	Lumbino
Luziado	Luziado
Luzido	Luzido
Luzidoj	Luzidoj
Luzo	Luzo
Madano	Madano
Mahaviro	Mahaviro
Majmonido	Majmonido
Majoto	Majoto
Makabeo	Makabeo
Makabeoj	Makabeoj
Makaronezio	Makaronezio
Maksimiliano	Maksimiliano
Makso	Makso
Malpigo	Malpigo
Manituo	Manituo
Maniĥeano	Maniĥeano
Maniĥeismo	Maniĥeismo
Maniĥeo	Maniĥeo
Manjo	Manjo
Mansio	Mansio
Manuelo	Manuelo
Manuo	Manuo
Marcialo	Marcialo
Mariano	Mariano
Mariujo	Mariujo
Mark-Aŭrelio	Mark-Aŭrelio
Marteno	Marteno
Marŝ	Marŝ
Masilio	Masilio
Mazdaismo	Mazdaismo
Mazdaisto	Mazdaisto
Mazdao	Mazdao
Mazepo	Mazepo
Maŭrico	Maŭrico
Me	Me
Mecenaso	Mecenaso
Medeo	Medeo
Mediĉoj	Mediĉoj
Medujo	Medujo
Mejbomo	Mejbomo
