Words resolved by literumilo (current) but invalid in literumilo_old:
---------------------------------------------------------------------
bandonio	expected=bandoni.o	old_output=bandonio
bangvio	expected=bangvi.o	old_output=bangvio
banĵulo	expected=banĵul.o	old_output=banĵulo
bantigi	expected=bant.ig.i	old_output=bantigi
bantrozo	expected=bant.roz.o	old_output=bantrozo
bantuo	expected=bantu.o	old_output=bantuo
bantuoj	expected=bantu.oj	old_output=bantuoj
banujo	expected=ban.uj.o	old_output=banujo
baptano	expected=bapt.an.o	old_output=baptano
baptofilino	expected=bapt.o.fil.in.o	old_output=baptofilino
baptofilo	expected=bapt.o.fil.o	old_output=baptofilo
baptogepatro	expected=bapt.o.ge.patr.o	old_output=baptogepatro
barbadoso	expected=barbados.o	old_output=barbadoso
barcelono	expected=barcelon.o	old_output=barcelono
barjono	expected=barjon.o	old_output=barjono
basisto	expected=bas.ist.o	old_output=basisto
baskulputo	expected=baskul.put.o	old_output=baskulputo
bastilo	expected=bastil.o	old_output=bastilo
baŝoo	expected=baŝo.o	old_output=baŝoo
batatbrando	expected=batat.brand.o	old_output=batatbrando
batavio	expected=batavi.o	old_output=batavio
batavo	expected=batav.o	old_output=batavo
batfaligi	expected=bat.fal.ig.i	old_output=batfaligi
batmiksi	expected=bat.miks.i	old_output=batmiksi
baŭdo	expected=baŭd.o	old_output=baŭdo
baŭdo	expected=baŭd.o	old_output=baŭdo
bazedovo	expected=bazedov.o	old_output=bazedovo
bazelo	expected=bazel.o	old_output=bazelo
bearno	expected=bearn.o	old_output=bearno
beatrico	expected=beatric.o	old_output=beatrico
bebokaĉo	expected=beb.o.kaĉ.o	old_output=bebokaĉo
bekerelo	expected=bekerel.o	old_output=bekerelo
bekerelo	expected=bekerel.o	old_output=bekerelo
bekverelo	expected=bekverel.o	old_output=bekverelo
belaŭo	expected=belaŭ.o	old_output=belaŭo
belmopano	expected=belmopan.o	old_output=belmopano
belsoneco	expected=bel.son.ec.o	old_output=belsoneco
beltalia	expected=bel.tali.a	old_output=beltalia
belto	expected=belt.o	old_output=belto
benareso	expected=benares.o	old_output=benareso
bengaluro	expected=bengalur.o	old_output=bengaluro
benigna	expected=benign.a	old_output=benigna
berberisacoj	expected=berberisac.oj	old_output=berberisacoj
berenico	expected=berenic.o	old_output=berenico
bergsono	expected=bergson.o	old_output=bergsono
berto	expected=bert.o	old_output=berto
besarabio	expected=besarabi.o	old_output=besarabio
betaradioj	expected=beta.radi.oj	old_output=betaradioj
betelĝuzo	expected=betelĝuz.o	old_output=betelĝuzo
bienetato	expected=bien.etat.o	old_output=bienetato
bierfeĉo	expected=bier.feĉ.o	old_output=bierfeĉo
biharo	expected=bihar.o	old_output=biharo
bikonkava	expected=bikonkav.a	old_output=bikonkava
bikonveksa	expected=bikonveks.a	old_output=bikonveksa
bilbao	expected=bilba.o	old_output=bilbao
biliono	expected=bilion.o	old_output=biliono
biloborso	expected=bil.o.bors.o	old_output=biloborso
bilomakleristo	expected=bil.o.makler.ist.o	old_output=bilomakleristo
bimetalismo	expected=bimetalism.o	old_output=bimetalismo
biocenozo	expected=biocenoz.o	old_output=biocenozo
biodiverseco	expected=bio.diversec.o	old_output=biodiverseco
biofiziko	expected=biofizik.o	old_output=biofiziko
biofuelo	expected=bio.fuel.o	old_output=biofuelo
biogaso	expected=bio.gas.o	old_output=biogaso
biogeografio	expected=biogeografi.o	old_output=biogeografio
bioindikanto	expected=bio.indik.ant.o	old_output=bioindikanto
biokarburaĵo	expected=bio.karbur.aĵ.o	old_output=biokarburaĵo
biokoncentriĝo	expected=bio.koncentr.iĝ.o	old_output=biokoncentriĝo
biomalkomponado	expected=bio.mal.kompon.ad.o	old_output=biomalkomponado
biomalkomponebla	expected=bio.mal.kompon.ebl.a	old_output=biomalkomponebla
biomaso	expected=biomas.o	old_output=biomaso
biosfero	expected=biosfer.o	old_output=biosfero
biotopo	expected=biotop.o	old_output=biotopo
birmingamo	expected=birmingam.o	old_output=birmingamo
bisaĵo	expected=bis.aĵ.o	old_output=bisaĵo
bisi	expected=bis.i	old_output=bisi
biso	expected=bis.o	old_output=biso
biŝkeko	expected=biŝkek.o	old_output=biŝkeko
bivo	expected=biv.o	old_output=bivo
blankarda	expected=blank.ard.a	old_output=blankarda
blankruso	expected=blank.rus.o	old_output=blankruso
blenoragio	expected=blenoragi.o	old_output=blenoragio
blezo	expected=blez.o	old_output=blezo
blogo	expected=blog.o	old_output=blogo
bodiarbo	expected=bodi.arb.o	old_output=bodiarbo
bodio	expected=bodi.o	old_output=bodio
bodiulo	expected=bodi.ul.o	old_output=bodiulo
bodlero	expected=bodler.o	old_output=bodlero
boforto	expected=bofort.o	old_output=boforto
bofronto	expected=bofront.o	old_output=bofronto
boĵolezo	expected=boĵolez.o	old_output=boĵolezo
bokaĉo	expected=bokaĉ.o	old_output=bokaĉo
boksbato	expected=boks.bat.o	old_output=boksbato
bolbano	expected=bol.ban.o	old_output=bolbano
bolkruĉo	expected=bol.kruĉ.o	old_output=bolkruĉo
bolkuiri	expected=bol.kuir.i	old_output=bolkuiri
bolpoto	expected=bol.pot.o	old_output=bolpoto
bolpunkto	expected=bol.punkt.o	old_output=bolpunkto
bolpurigi	expected=bol.pur.ig.i	old_output=bolpurigi
boltubo	expected=bol.tub.o	old_output=boltubo
bolujo	expected=bol.uj.o	old_output=bolujo
bonno	expected=bonn.o	old_output=bonno
bontenado	expected=bon.ten.ad.o	old_output=bontenado
bonteni	expected=bon.ten.i	old_output=bonteni
bordozo	expected=bordoz.o	old_output=bordozo
boreo	expected=bore.o	old_output=boreo
borkonkoj	expected=bor.konk.oj	old_output=borkonkoj
bormaŝino	expected=bor.maŝin.o	old_output=bormaŝino
borneo	expected=borne.o	old_output=borneo
bortruo	expected=bor.tru.o	old_output=bortruo
bosono	expected=boson.o	old_output=bosono
bosporo	expected=bospor.o	old_output=bosporo
boŝmano	expected=boŝman.o	old_output=boŝmano
botnio	expected=botni.o	old_output=botnio
brabanto	expected=brabant.o	old_output=brabanto
brahmao	expected=brahma.o	old_output=brahmao
brahmo	expected=brahm.o	old_output=brahmo
brandenburgo	expected=brandenburg.o	old_output=brandenburgo
brasikacoj	expected=brasik.ac.oj	old_output=brasikacoj
brasiknapo	expected=brasik.nap.o	old_output=brasiknapo
brasikrapo	expected=brasik.rap.o	old_output=brasikrapo
bratislavo	expected=bratislav.o	old_output=bratislavo
bremeno	expected=bremen.o	old_output=bremeno
brigito	expected=brigit.o	old_output=brigito
briĝtaŭno	expected=briĝtaŭn.o	old_output=briĝtaŭno
briofitoj	expected=briofit.oj	old_output=briofitoj
bristolo	expected=bristol.o	old_output=bristolo
britono	expected=briton.o	old_output=britono
britujo	expected=brit.uj.o	old_output=britujo
brno	expected=brn.o	old_output=brno
broclavo	expected=broclav.o	old_output=broclavo
bromismo	expected=brom.ism.o	old_output=bromismo
bronkito	expected=bronkit.o	old_output=bronkito
brunalgoj	expected=brun.alg.oj	old_output=brunalgoj
budaismo	expected=buda.ism.o	old_output=budaismo
budaisto	expected=buda.ist.o	old_output=budaisto
budao	expected=buda.o	old_output=budao
buddo	expected=budd.o	old_output=buddo
bugenvilio	expected=bugenvili.o	old_output=bugenvilio
buĝetita	expected=buĝet.it.a	old_output=buĝetita
buksoligno	expected=buks.o.lign.o	old_output=buksoligno
bulbilo	expected=bulbil.o	old_output=bulbilo
bulsuŝio	expected=bul.suŝi.o	old_output=bulsuŝio
bumbusprito	expected=bum.busprit.o	old_output=bumbusprito
buntpego	expected=bunt.peg.o	old_output=buntpego
burbono	expected=burbon.o	old_output=burbono
burgero	expected=burger.o	old_output=burgero
burĥo	expected=burĥ.o	old_output=burĥo
burundio	expected=burundi.o	old_output=burundio
buŝmeno	expected=buŝmen.o	old_output=buŝmeno
buŝumo	expected=buŝ.um.o	old_output=buŝumo
butanolo	expected=butanol.o	old_output=butanolo
butonumi	expected=buton.um.i	old_output=butonumi
cedebla	expected=ced.ebl.a	old_output=cedebla
cefalonio	expected=cefaloni.o	old_output=cefalonio
cefeo	expected=cefe.o	old_output=cefeo
cekumito	expected=cekumit.o	old_output=cekumito
celebeso	expected=celebes.o	old_output=celebeso
celenteruloj	expected=celenter.ul.oj	old_output=celenteruloj
celismo	expected=cel.ism.o	old_output=celismo
celoidino	expected=celoidin.o	old_output=celoidino
celsia	expected=celsi.a	old_output=celsia
celsigrado	expected=celsi.grad.o	old_output=celsigrado
celsio	expected=celsi.o	old_output=celsio
celsiusa	expected=celsius.a	old_output=celsiusa
celsiusgrado	expected=celsius.grad.o	old_output=celsiusgrado
celto	expected=celt.o	old_output=celto
celulito	expected=celulit.o	old_output=celulito
censo	expected=cens.o	old_output=censo
centiaro	expected=centiar.o	old_output=centiaro
centigramo	expected=centigram.o	old_output=centigramo
centilitro	expected=centilitr.o	old_output=centilitro
centralizi	expected=centraliz.i	old_output=centralizi
centralizismo	expected=centraliz.ism.o	old_output=centralizismo
centrejo	expected=centr.ej.o	old_output=centrejo
centrifugilo	expected=centrifug.il.o	old_output=centrifugilo
centuma	expected=cent.um.a	old_output=centuma
cerumeno	expected=cerumen.o	old_output=cerumeno
cervanto	expected=cervant.o	old_output=cervanto
cervedoj	expected=cerv.ed.oj	old_output=cervedoj
cevenoj	expected=ceven.oj	old_output=cevenoj
cezarismo	expected=cezar.ism.o	old_output=cezarismo
cezaro	expected=cezar.o	old_output=cezaro
cezartranĉo	expected=cezar.tranĉ.o	old_output=cezartranĉo
cianido	expected=cianid.o	old_output=cianido
cianobakterioj	expected=cian.o.bakteri.oj	old_output=cianobakterioj
ciberspaco	expected=ciberspac.o	old_output=ciberspaco
cibetkato	expected=cibet.kat.o	old_output=cibetkato
cicerono	expected=ciceron.o	old_output=cicerono
cicumo	expected=cic.um.o	old_output=cicumo
cikadedoj	expected=cikaded.oj	old_output=cikadedoj
cikloido	expected=cikloid.o	old_output=cikloido
ciklopa	expected=ciklop.a	old_output=ciklopa
ciklopo	expected=ciklop.o	old_output=ciklopo
ciklorako	expected=cikl.o.rak.o	old_output=ciklorako
cilicio	expected=cilici.o	old_output=cilicio
cimbroj	expected=cimbr.oj	old_output=cimbroj
cindrourno	expected=cindr.o.urn.o	old_output=cindrourno
cinikismo	expected=cinik.ism.o	old_output=cinikismo
cionismo	expected=cion.ism.o	old_output=cionismo
cionisto	expected=cion.ist.o	old_output=cionisto
cirenio	expected=ciren.i.o	old_output=cirenio
cireno	expected=ciren.o	old_output=cireno
citero	expected=citer.o	old_output=citero
citsigno	expected=cit.sign.o	old_output=citsigno
civilisto	expected=civil.ist.o	old_output=civilisto
cukcukcikado	expected=cukcukcikad.o	old_output=cukcukcikado
ĉadoro	expected=ĉador.o	old_output=ĉadoro
ĉajoto	expected=ĉajot.o	old_output=ĉajoto
ĉamkolora	expected=ĉam.kolor.a	old_output=ĉamkolora
ĉamledo	expected=ĉam.led.o	old_output=ĉamledo
ĉapelilo	expected=ĉapelil.o	old_output=ĉapelilo
ĉarloto	expected=ĉarlot.o	old_output=ĉarloto
ĉarumo	expected=ĉar.um.o	old_output=ĉarumo
ĉaspelanto	expected=ĉas.pel.ant.o	old_output=ĉaspelanto
ĉasteco	expected=ĉast.ec.o	old_output=ĉasteco
ĉaŭdefono	expected=ĉaŭdefon.o	old_output=ĉaŭdefono
ĉebaltio	expected=ĉe.balt.i.o	old_output=ĉebaltio
ĉeĉenio	expected=ĉeĉen.i.o	old_output=ĉeĉenio
ĉeĝudo	expected=ĉeĝud.o	old_output=ĉeĝudo
ĉelmalliberejo	expected=ĉel.mal.liber.ej.o	old_output=ĉelmalliberejo
ĉelmuko	expected=ĉel.muk.o	old_output=ĉelmuko
ĉengduo	expected=ĉengdu.o	old_output=ĉengduo
ĉerburgo	expected=ĉerburg.o	old_output=ĉerburgo
ĉerizprunuso	expected=ĉeriz.prunus.o	old_output=ĉerizprunuso
ĉerkesio	expected=ĉerkes.i.o	old_output=ĉerkesio
ĉerkeso	expected=ĉerkes.o	old_output=ĉerkeso
ĉernobilo	expected=ĉernobil.o	old_output=ĉernobilo
ĉiamulo	expected=ĉiam.ul.o	old_output=ĉiamulo
ĉieesta	expected=ĉie.est.a	old_output=ĉieesta
ĉiesulino	expected=ĉies.ul.in.o	old_output=ĉiesulino
ĉimarono	expected=ĉimaron.o	old_output=ĉimarono
ĉingdaŭo	expected=ĉingdaŭ.o	old_output=ĉingdaŭo
